1 (acc.),81.4900,81.5100,80.6300,76.1500
1 (loss),0.6211,0.6204,0.6527,0.7884
2 (acc.),81.2300,81.3100,80.5000,77.0800
2 (loss),0.6358,0.6359,0.6733,0.7784
3 (acc.),81.0300,81.0900,80.1100,77.3900
3 (loss),0.6513,0.6542,0.6885,0.7418
4 (acc.),81.0100,80.8500,80.3200,77.6000
4 (loss),0.6570,0.6584,0.6826,0.7434
5 (acc.),80.8000,80.7100,80.2700,77.7800
5 (loss),0.6696,0.6737,0.6972,0.7517
6 (acc.),80.3500,80.3500,80.1300,77.5100
6 (loss),0.6874,0.6926,0.7116,0.7675
7 (acc.),80.3900,80.3300,80.0000,78.0400
7 (loss),0.6867,0.6912,0.7135,0.7403
8 (acc.),80.3000,80.2900,79.8000,78.3600
8 (loss),0.6950,0.7028,0.7128,0.7231
9 (acc.),80.3800,80.2700,79.8800,78.1100
9 (loss),0.6902,0.6985,0.7130,0.7432
10 (acc.),80.3700,80.3300,79.9100,77.6300
10 (loss),0.6978,0.7034,0.7189,0.7523
