1 (acc.),81.6200,81.7600,80.8600,76.0700
1 (loss),0.6137,0.6130,0.6374,0.7938
2 (acc.),81.2900,81.2800,80.3100,77.2600
2 (loss),0.6334,0.6342,0.6791,0.7542
3 (acc.),81.2300,81.2100,80.5600,77.1700
3 (loss),0.6449,0.6454,0.6768,0.7548
4 (acc.),81.0000,80.7900,80.5600,78.1300
4 (loss),0.6575,0.6651,0.6754,0.7495
5 (acc.),80.8400,80.7400,80.5400,77.6100
5 (loss),0.6640,0.6689,0.6796,0.7422
6 (acc.),80.5100,80.5700,80.1400,78.0500
6 (loss),0.6773,0.6807,0.6953,0.7474
7 (acc.),80.3400,80.4000,80.2200,77.6000
7 (loss),0.6835,0.6846,0.6982,0.7542
8 (acc.),80.3100,80.2400,79.9500,78.5700
8 (loss),0.6912,0.6981,0.7114,0.7378
9 (acc.),80.4300,80.2100,79.8000,78.7700
9 (loss),0.6899,0.6942,0.7168,0.7205
10 (acc.),80.3500,80.4100,79.7900,78.2800
10 (loss),0.6914,0.6972,0.7204,0.7193
