1 (acc.),81.5100,81.5100,80.5800,76.6800
1 (loss),0.6185,0.6190,0.6466,0.7820
2 (acc.),81.2100,81.1300,80.0600,77.0300
2 (loss),0.6433,0.6431,0.6866,0.7649
3 (acc.),80.8800,80.8900,80.0900,77.3600
3 (loss),0.6589,0.6594,0.6913,0.7611
4 (acc.),80.9100,80.7600,80.2100,77.9400
4 (loss),0.6630,0.6679,0.6856,0.7364
5 (acc.),80.5900,80.4700,80.2600,77.9700
5 (loss),0.6761,0.6816,0.6969,0.7446
6 (acc.),80.4300,80.3500,80.3300,77.9400
6 (loss),0.6808,0.6860,0.6883,0.7427
7 (acc.),80.4300,80.4000,80.0700,78.4200
7 (loss),0.6824,0.6878,0.6956,0.7234
8 (acc.),80.2900,80.2000,79.9700,78.6100
8 (loss),0.6906,0.6993,0.7013,0.7332
9 (acc.),80.4300,80.2600,79.9000,78.5000
9 (loss),0.6913,0.6975,0.7130,0.7193
10 (acc.),80.4000,80.5600,80.0300,78.5800
10 (loss),0.6927,0.6970,0.7145,0.7320
