1 (acc.),81.6400,81.7000,80.8000,76.1600
1 (loss),0.6163,0.6142,0.6431,0.7866
2 (acc.),81.3400,81.3000,80.3500,76.7100
2 (loss),0.6319,0.6330,0.6715,0.7873
3 (acc.),81.2200,81.1400,80.3200,77.3800
3 (loss),0.6497,0.6562,0.6822,0.7522
4 (acc.),80.9600,80.7800,80.3300,77.3200
4 (loss),0.6617,0.6673,0.6863,0.7584
5 (acc.),80.7500,80.7100,80.5400,77.9500
5 (loss),0.6687,0.6718,0.6857,0.7337
6 (acc.),80.4900,80.4800,80.3000,78.1500
6 (loss),0.6835,0.6878,0.7028,0.7347
7 (acc.),80.4600,80.3200,80.2600,77.9600
7 (loss),0.6810,0.6869,0.6962,0.7344
8 (acc.),80.2800,80.1700,80.0900,78.3400
8 (loss),0.6921,0.6955,0.7047,0.7145
9 (acc.),80.3300,80.2700,79.8900,77.9700
9 (loss),0.6903,0.6958,0.7075,0.7222
10 (acc.),80.2900,80.1800,79.8500,78.9800
10 (loss),0.6953,0.7012,0.7147,0.7165
